0.682,0.118,-35390.15516
0.698,0.102,-35152.61913
0.714,0.086,-34902.62846
0.73,0.07,-34637.47507
0.746,0.054,-34353.06413
0.762,0.038,-34042.51108
0.778,0.022,-33692.07292
0.794,0.006,-33261.2792
0.8,0,-33028.24462
,,
,,
9.16418E-13,0.7,-41824.90412
0.01,0.69,-41981.82453
0.01,0.69,-41981.82453
0.024,0.676,-42037.50454
0.038,0.662,-42027.13076
0.052,0.648,-41977.83856
0.066,0.634,-41901.20698
0.08,0.62,-41803.72975
0.0846,0.6154,-41767.89828
0.0846,0.6154,-41767.89828
0.094,0.606,-41692.77586
0.108,0.592,-41580.30435
0.122,0.578,-41467.11985
0.136,0.564,-41353.20716
0.15,0.55,-41238.55088
0.164,0.536,-41123.13533
0.178,0.522,-41006.94461
0.192,0.508,-40889.9625
0.1948,0.5052,-40866.46966
0.1976,0.5024,-40842.94437
0.2004,0.4996,-40819.3865
0.2032,0.4968,-40795.7959
0.206,0.494,-40772.17246
0.2088,0.4912,-40748.51602
0.2116,0.4884,-40724.82645
0.2144,0.4856,-40701.10362
0.2172,0.4828,-40677.34739
0.22096,0.47904,-40643.49602
0.2228,0.4772,-40629.73416
0.2256,0.4744,-40605.87688
0.2284,0.4716,-40581.98564
0.2312,0.4688,-40558.06029
0.234,0.466,-40534.1007
0.2368,0.4632,-40510.10672
0.2396,0.4604,-40486.07821
0.2424,0.4576,-40462.01501
0.2452,0.4548,-40437.917
0.248,0.452,-40413.78402
0.2508,0.4492,-40389.61592
0.2536,0.4464,-40365.41256
0.2564,0.4436,-40341.17379
0.2592,0.4408,-40316.89946
0.262,0.438,-40292.58941
0.2648,0.4352,-40268.2435
0.2676,0.4324,-40243.86158
0.2704,0.4296,-40219.44349
0.2732,0.4268,-40194.98908
0.276,0.424,-40170.49819
0.276,0.424,-40170.49819
0.29,0.41,-40047.49109
0.304,0.396,-39923.60297
0.304,0.396,-39923.60297
0.3068,0.3932,-39898.72653
0.3096,0.3904,-39873.81617
0.3236,0.3764,-39748.74006
0.3376,0.3624,-39622.74949
0.3516,0.3484,-39495.79009
0.3656,0.3344,-39367.80878
0.3796,0.3204,-39238.75409
0.3936,0.3064,-39108.57624
0.4076,0.2924,-38977.22729
0.4216,0.2784,-38844.66113
0.4356,0.2644,-38710.83333
0.4496,0.2504,-38575.70101
0.4636,0.2364,-38439.22251
0.4776,0.2224,-38301.35701
0.4916,0.2084,-38162.06404
0.5056,0.1944,-38021.30289
0.5196,0.1804,-37879.03187
0.52391,0.17609,-37521.40214
0.52401,0.17599,-37525.17054
0.5324,0.1676,-37747.55971
0.5324,0.1676,-37747.55971
0.5324,0.1676,-37747.55971
0.5336,0.1664,-37735.15665
0.5476,0.1524,-37581.33533
0.5616,0.1384,-37410.61508
0.5756,0.1244,-37221.62311
0.5896,0.1104,-37012.92742
0.6036,0.0964,-36783.08663
